researcher,role,studies,institution,lab,institution_lab,full_address,country,continent,Latitude,Longitude,notes
Linda Polka,NA,MB1,McGill University,NA,NA,"McGill University, Chemin le Serpentin, Montreal, QC H3A 1A3, Canada",Canada,North America,45.5025572,-73.5808286,NA
Viola Macchi Cassia,NA,MB1,University of Milano-Bicocca,NA,NA,"Piazza della Scienza, 1, 20126 Milano MI, Italy",Italy,Europe,45.5131796,9.2108959,NA
Stefania Conte,NA,MB1,University of Milano-Bicocca,NA,NA,"Piazza della Scienza, 1, 20126 Milano MI, Italy",Italy,Europe,45.5131796,9.2108959,NA
Anja Gampe,NA,MB1,University of Zurich,NA,NA,"RÃ¤mistrasse 71, 8006 ZÃ¼rich, Switzerland",Switzerland,Europe,47.3746043,8.5488515,NA
Stephanie Wermelinger,NA,MB1,University of Zurich,NA,NA,"RÃ¤mistrasse 71, 8006 ZÃ¼rich, Switzerland",Switzerland,Europe,47.3746043,8.5488515,NA
MikoÅ‚aj Hernik,NA,MB1,Central European University,NA,NA,"Central European University, Budapest, NÃ¡dor u, 1051, Hungary",Hungary,Europe,47.5005395,19.04958,NA
Bettina Braun,NA,MB1,University of Konstanz,NA,NA,"Konstanz, Baden-WÃ¼rttemberg, Germany",Germany,Europe,47.6779496,9.1732384,NA
Katharina Zahner,NA,MB1,University of Konstanz,NA,NA,"Konstanz, Baden-WÃ¼rttemberg, Germany",Germany,Europe,47.6779496,9.1732384,NA
StÃ©phanie Barbu,NA,MB1,UniversitÃ© de Rennes 1 - CNRS,NA,NA,"263 Avenue GÃ©nÃ©ral Leclerc, 35700 Rennes, France",France,Europe,48.1143217,-1.6406784,NA
Virginie Durier,NA,MB1,UniversitÃ© de Rennes 1 - CNRS,NA,NA,"263 Avenue GÃ©nÃ©ral Leclerc, 35700 Rennes, France",France,Europe,48.1143217,-1.6406784,NA
ChloÃ© Leservoisier,NA,MB1,UniversitÃ© de Rennes 1 - CNRS,NA,NA,"263 Avenue GÃ©nÃ©ral Leclerc, 35700 Rennes, France",France,Europe,48.1143217,-1.6406784,NA
Markus Paulus,NA,MB1,Ludwig Maximilian University,NA,NA,"Geschwister-Scholl-Platz 1, 80539 MÃ¼nchen, Germany",Germany,Europe,48.1509185,11.5798609,NA
Carolina Pletti,NA,MB1,Ludwig Maximilian University,NA,NA,"Geschwister-Scholl-Platz 1, 80539 MÃ¼nchen, Germany",Germany,Europe,48.1509185,11.5798609,NA
Alejandrina Cristia,NA,MB1,"Laboratoire de Sciences Cognitives et Psycholinguistique, Dept d'Etudes Cognitives, ENS, PSL University, EHESS, CNRS",NA,NA,"54 Boulevard Raspail, 75006 Paris, France",France,Europe,48.8501757,2.3269332,NA
Naomi Havron,NA,MB1,"Laboratoire de Sciences Cognitives et Psycholinguistique, Dept d'Etudes Cognitives, ENS, PSL University, EHESS, CNRS",NA,NA,"54 Boulevard Raspail, 75006 Paris, France",France,Europe,48.8501757,2.3269332,NA
Thierry Nazzi,NA,MB1,UniversitÃ© Paris Descartes,NA,NA,"UniversitÃ© de Paris - Site de Saint-Germain-des-PrÃ¨s, 45 r des Saints-PÃ¨res, 75006 Paris, France",France,Europe,48.8553052,2.3318301,NA
Katie Von Holzen,NA,MB1,UniversitÃ© Paris Descartes,NA,NA,"UniversitÃ© de Paris - Site de Saint-Germain-des-PrÃ¨s, 45 r des Saints-PÃ¨res, 75006 Paris, France",France,Europe,48.8553052,2.3318301,NA
Judit Gervain,NA,MB1,UniversitÃ© Paris Descartes,NA,NA,"UniversitÃ© de Paris - Site de Saint-Germain-des-PrÃ¨s, 45 r des Saints-PÃ¨res, 75006 Paris, France",France,Europe,48.8553052,2.3318301,NA
Caterina Marino,NA,MB1,UniversitÃ© Paris Descartes,NA,NA,"UniversitÃ© de Paris - Site de Saint-Germain-des-PrÃ¨s, 45 r des Saints-PÃ¨res, 75006 Paris, France",France,Europe,48.8553052,2.3318301,NA
Gisa Aschersleben,NA,MB1,Saarland University,NA,NA,"66123 SaarbrÃ¼cken, Germany",Germany,Europe,49.2489232,7.017559,NA
Andrea A.R. Krieger,NA,MB1,Saarland University,NA,NA,"66123 SaarbrÃ¼cken, Germany",Germany,Europe,49.2489232,7.017559,NA
J. Kiley Hamlin,NA,MB1,University of British Columbia,NA,NA,"University of British Columbia, Sopron Lane, University Endowment Lands, BC V6T 1L9, Canada",Canada,North America,49.2603572,-123.2473357,NA
Janet F. Werker,NA,MB1,University of British Columbia,NA,NA,"University of British Columbia, Sopron Lane, University Endowment Lands, BC V6T 1L9, Canada",Canada,North America,49.2603572,-123.2473357,NA
Florian Krieger,NA,MB1,University of Luxembourg,NA,NA,"2, avenue de l'UniversitÃ©, 4365 Esch-sur-Alzette, Luxembourg",Luxembourg,Europe,49.504553,5.948429,NA
Kelsey Klassen,NA,MB1,University of Manitoba,NA,NA,"University of Manitoba, Normand Park Dr, Winnipeg, MB R3T 2S9, Canada",Canada,North America,49.8075008,-97.1366259,NA
Melanie Soderstrom,NA,MB1,University of Manitoba,NA,NA,"University of Manitoba, Normand Park Dr, Winnipeg, MB R3T 2S9, Canada",Canada,North America,49.8075008,-97.1366259,NA
Caroline Floccia,NA,MB1,University of Plymouth,NA,NA,"Drake Circus, Plymouth PL4 8AA, United Kingdom",United Kingdom,Europe,50.374697,-4.1376293,NA
Maximilian P. BÃ¶hland,NA,MB1,Technische UniversitÃ¤t Dresden,NA,NA,"Technische UniversitÃ¤t Dresden, HaeckelstraÃŸe, 01069 Dresden, Germany",Germany,Europe,51.0292734,13.7289964,NA
Christine Michel,NA,MB1,Max Planck Institute for Human Cognitive and Brain Sciences,NA,NA,"StephanstraÃŸe 1a, 04103 Leipzig, Germany",Germany,Europe,51.3346436,12.3891418,NA
Graham Schafer,NA,MB1,University of Reading,NA,NA,"Reading, United Kingdom",United Kingdom,Europe,51.4542645,-0.9781303,NA
Ryan Blything,NA,MB1,University of Bristol,NA,NA,"University of Bristol, Woodland Rd, Bristol BS2, UK",United Kingdom,Europe,51.4584172,-2.6029792,NA
Nivedita Mani,NA,MB1,University of Goettingen,NA,NA,"Wilhelmsplatz 1, 37073 GÃ¶ttingen, Germany",Germany,Europe,51.5340918,9.9378899,NA
Melanie S. Schreiner,NA,MB1,University of Goettingen,NA,NA,"Wilhelmsplatz 1, 37073 GÃ¶ttingen, Germany",Germany,Europe,51.5340918,9.9378899,NA
Matthias Lippold,NA,MB1,University of Goettingen,NA,NA,"Wilhelmsplatz 1, 37073 GÃ¶ttingen, Germany",Germany,Europe,51.5340918,9.9378899,NA
Nayeli Gonzalez-Gomez,NA,MB1,Oxford Brookes University,NA,NA,"Oxford Brookes University Gipsy Lane Site, Grays Rd, Oxford OX3 7PU, UK",United Kingdom,Europe,51.755011,-1.224225,NA
Paula Fikkert,NA,MB1,Radboud University,NA,NA,"Houtlaan 4, 6525 XZ Nijmegen, Netherlands",Netherlands,Europe,51.8167344,5.8649906,NA
Laura E. Hahn,NA,MB1,Radboud University,NA,NA,"Houtlaan 4, 6525 XZ Nijmegen, Netherlands",Netherlands,Europe,51.8167344,5.8649906,NA
Katharina Menn,NA,MB1,Radboud University,NA,NA,"Houtlaan 4, 6525 XZ Nijmegen, Netherlands",Netherlands,Europe,51.8167344,5.8649906,NA
Christina Bergmann,NA,MB1,Max Planck Insitute for Psycholinguistics,NA,NA,"Max Planck Institute for Psycholinguistics, Comeniuslaan, 6525 XD Nijmegen, The Netherlands",The Netherlands,Europe,51.8179934,5.8570934,NA
Rebecca L. A. Frost,NA,MB1,Max Planck Institute for Psycholinguistics,NA,NA,"Max Planck Institute for Psycholinguistics, Comeniuslaan, 6525 XD Nijmegen, The Netherlands",The Netherlands,Europe,51.8179934,5.8570934,NA
Claire Delle Luche,NA,MB1,University of Essex,NA,NA,"Wivenhoe Park, Colchester CO4 3SQ, United Kingdom",United Kingdom,Europe,51.8768245,0.9531797,NA
Maartje de Klerk,NA,MB1,Utrecht University,NA,NA,"Domplein 29, 3512 JE Utrecht, Netherlands",Netherlands,Europe,52.0902537,5.1225664,NA
Caroline Junge,NA,MB1,Utrecht University,NA,NA,"Domplein 29, 3512 JE Utrecht, Netherlands",Netherlands,Europe,52.0902537,5.1225664,NA
Anna Gupta,NA,MB1,Leiden University,NA,NA,"Leiden University, Niels Bohrweg, 2333 CD Leiden, The Netherlands",The Netherlands,Europe,52.1696121,4.4568618,NA
Claartje Levelt,NA,MB1,Leiden University,NA,NA,"Leiden University, Niels Bohrweg, 2333 CD Leiden, The Netherlands",The Netherlands,Europe,52.1696121,4.4568618,NA
Tom Fritzsche,NA,MB1,University of Potsdam,NA,NA,"Am Neuen Palais 10, 14469 Potsdam, Germany",Germany,Europe,52.4003952,13.0130902,NA
Barbara HÃ¶hle,NA,MB1,University of Potsdam,NA,NA,"Am Neuen Palais 10, 14469 Potsdam, Germany",Germany,Europe,52.4003952,13.0130902,NA
Rhodri Cusack,NA,MB1,Trinity College Dublin,NA,NA,"College Green, Dublin 2, Ireland",Ireland,Europe,53.3446394,-6.2595373,NA
Anna Brown,NA,MB1,University of Liverpool,NA,NA,"Liverpool L69 3BX, United Kingdom",United Kingdom,Europe,53.4063986,-2.975554,NA
Samantha Durrant,NA,MB1,University of Liverpool,NA,NA,"Liverpool L69 3BX, United Kingdom",United Kingdom,Europe,53.4063986,-2.975554,NA
Claire Noble,NA,MB1,University of Liverpool,NA,NA,"Liverpool L69 3BX, United Kingdom",United Kingdom,Europe,53.4063986,-2.975554,NA
Laura de Ruiter,NA,MB1,University of Manchester,NA,NA,"Oxford Rd, Manchester M13 9PL, United Kingdom",United Kingdom,Europe,53.4667304,-2.2341758,NA
Alissa Ferry,NA,MB1,University of Manchester,NA,NA,"Oxford Rd, Manchester M13 9PL, United Kingdom",United Kingdom,Europe,53.4667304,-2.2341758,NA
Iain Jackson,NA,MB1,University of Manchester,NA,NA,"Oxford Rd, Manchester M13 9PL, United Kingdom",United Kingdom,Europe,53.4667304,-2.2341758,NA
Anna Theakston,NA,MB1,University of Manchester,NA,NA,"Oxford Rd, Manchester M13 9PL, United Kingdom",United Kingdom,Europe,53.4667304,-2.2341758,NA
Katherine Twomey,NA,MB1,University of Manchester,NA,NA,"Oxford Rd, Manchester M13 9PL, United Kingdom",United Kingdom,Europe,53.4667304,-2.2341758,NA
Marianna Jarto,NA,MB1,University of Hamburg,NA,NA,"UniversitÃ¤t Hamburg, Mittelweg 177, 20148 Hamburg, Germany",Germany,Europe,53.5641623,9.9949699,NA
Ulf Liszkowski,NA,MB1,University of Hamburg,NA,NA,"UniversitÃ¤t Hamburg, Mittelweg 177, 20148 Hamburg, Germany",Germany,Europe,53.5641623,9.9949699,NA
Catherine Davies,NA,MB1,University of Leeds,NA,NA,"Woodhouse, Leeds LS2 9JT, United Kingdom",United Kingdom,Europe,53.8079251,-1.5540873,NA
Christopher Cox,NA,MB1,University of York,NA,NA,"University of York, Field Lane, Heslington YO10 5DD, UK",United Kingdom,Europe,53.9461089,-1.0517718,NA
