researcher,role,studies,institution,lab,institution_lab,full_address,Latitude,Longitude,notes
Marianna Jarto,,MB1,University of Hamburg,,,"Universität Hamburg, Mittelweg 177, 20148 Hamburg, Germany",53.5641623,9.9949699,
Ulf Liszkowski,,MB1,University of Hamburg,,,"Universität Hamburg, Mittelweg 177, 20148 Hamburg, Germany",53.5641623,9.9949699,
Catherine Davies,,MB1,University of Leeds,,,"Woodhouse, Leeds LS2 9JT, United Kingdom",53.8079251,-1.5540873,
Christopher Cox,,MB1,University of York,,,"University of York, Field Lane, Heslington YO10 5DD, UK",53.9461089,-1.0517718,
Tamar Keren-Portnoy,,MB1,University of York,,,"University of York, Field Lane, Heslington YO10 5DD, UK",53.9461089,-1.0517718,
Katherine Jane Alcock,,MB1,Lancaster University,,,"Lancaster University, Lancaster University Woodland Walk, Lancaster LA1 4XP, UK",54.0103942,-2.7877294,
Charlotte Rothwell,,MB1,Lancaster University,,,"Lancaster University, Lancaster University Woodland Walk, Lancaster LA1 4XP, UK",54.0103942,-2.7877294,
Mitsuhiko Ota,,MB1,University of Edinburgh,,,"Old College, South Bridge, Edinburgh EH8 9YL, United Kingdom",55.9475296,-3.1864979,
Barbora Skarabela,,MB1,University of Edinburgh,,,"Old College, South Bridge, Edinburgh EH8 9YL, United Kingdom",55.9475296,-3.1864979,
Hugh Rabagliati,,MB1,University of Edinburgh,,,"Old College, South Bridge, Edinburgh EH8 9YL, United Kingdom",55.9475296,-3.1864979,
Natalia Kartushina,,MB1,University of Oslo,,,"University of Oslo, Henrik Ibsens gate, 0120 Oslo, Norway",59.9153582,10.7351718,
Julien Mayor,,MB1,University of Oslo,,,"University of Oslo, Henrik Ibsens gate, 0120 Oslo, Norway",59.9153582,10.7351718,
Anna S. Trøan,,MB1,University of Oslo,,,"University of Oslo, Henrik Ibsens gate, 0120 Oslo, Norway",59.9153582,10.7351718,
Angeline Sin-Mei Tsui,,MB1A,Stanford University,,,"Stanford University, Blake Wilbur Dr, Palo Alto, CA 94305-6015, USA",37.4361441,-122.1768566,
Michael C. Frank,,MB1A,Stanford University,,,"Stanford University, Blake Wilbur Dr, Palo Alto, CA 94305-6015, USA",37.4361441,-122.1768566,
Casey Lew-Williams,,MB1A,Princeton University,,,"Princeton University, Alexander St, Princeton, NJ 08540, USA",40.3430942,-74.6550739,
